,Inverse,LU,Determinant
10,1158.0,595.0,595.0
20,10616.0,6088.0,6088.0
30,37244.0,21703.0,21703.0
40,90432.0,54590.0,54590.0
50,178290.0,107219.0,107219.0
60,311188.0,190004.0,190004.0
70,496288.0,302303.0,302303.0
80,745664.0,461626.0,461626.0
90,1063282.0,653511.0,653511.0
100,1464080.0,907032.0,907032.0
110,1951428.0,1206203.0,1206203.0
120,2541176.0,1583894.0,1583894.0
130,3232578.0,2008629.0,2008629.0
140,4045276.0,2521800.0,2521800.0
150,4977972.0,3096269.0,3096269.0
160,6054528.0,3795762.0,3795762.0
170,7260766.0,4527767.0,4527767.0
180,8630864.0,5401720.0,5401720.0
190,10153892.0,6347653.0,6347653.0
200,11858160.0,7443238.0,7443238.0
210,13726038.0,8592413.0,8592413.0
220,15797156.0,9912244.0,9912244.0
230,18051316.0,11307437.0,11307437.0
240,20533552.0,12921250.0,12921250.0
250,23202450.0,14553085.0,14553085.0
260,26119856.0,16423606.0,16423606.0
270,29250824.0,18361419.0,18361419.0
280,32649352.0,20556170.0,20556170.0
290,36268346.0,22796313.0,22796313.0
300,40173444.0,25279930.0,25279930.0
310,44323860.0,27855859.0,27855859.0
320,48793856.0,30784162.0,30784162.0
330,53494234.0,33645017.0,33645017.0
340,58536232.0,36874620.0,36874620.0
350,63853420.0,40189623.0,40189623.0
360,69522928.0,43851902.0,43851902.0
370,75464786.0,47525245.0,47525245.0
380,81786084.0,51573482.0,51573482.0
390,88405064.0,55684697.0,55684697.0
400,95436320.0,60263810.0,60263810.0
410,102746558.0,64737715.0,64737715.0
420,110492376.0,69716278.0,69716278.0
430,118564584.0,74730617.0,74730617.0
440,127087512.0,80256382.0,80256382.0
450,135928934.0,85749019.0,85749019.0
460,145235332.0,91673422.0,91673422.0
470,154898868.0,97677201.0,97677201.0
480,165079904.0,104355114.0,104355114.0
490,175565362.0,110753259.0,110753259.0
500,186592400.0,117840222.0,117840222.0
