,nonzero_percentage,b,sigma,msa
0,0.01,b_1,sigma_two,0.003325538242240683
1,0.01,b_4,sigma_two,0.003325538242240683
2,0.01,b_1,sigma_half,0.002638021153564466
3,0.01,b_4,sigma_half,0.002407388396366533
4,0.01,b_1,sigma_last,1.0264221660434124e-34
5,0.01,b_4,sigma_last,1.8595359155515619e-16
6,0.02,b_1,sigma_two,0.006474431226318522
7,0.02,b_4,sigma_two,0.006474431226318522
8,0.02,b_1,sigma_half,0.005661997819271017
9,0.02,b_4,sigma_half,0.005658353504938293
10,0.02,b_1,sigma_last,4.9930849588473245e-34
11,0.02,b_4,sigma_last,5.1695046889522905e-12
12,0.05,b_1,sigma_two,0.01583902941383329
13,0.05,b_4,sigma_two,0.01583902941383329
14,0.05,b_1,sigma_half,0.015112340069358967
15,0.05,b_4,sigma_half,0.015112340069358967
16,0.05,b_1,sigma_last,1.0136090755469279e-10
17,0.05,b_4,sigma_last,2.421722892895655e-11
18,0.1,b_1,sigma_two,0.030487883908626175
19,0.1,b_4,sigma_two,0.030487883908626175
20,0.1,b_1,sigma_half,0.029302260730970607
21,0.1,b_4,sigma_half,0.029302260730970607
22,0.1,b_1,sigma_last,1.4410174800960778e-12
23,0.1,b_4,sigma_last,1.1231735267943226e-11
24,0.2,b_1,sigma_two,0.05604145504412805
25,0.2,b_4,sigma_two,0.05604145504412805
26,0.2,b_1,sigma_half,0.054016994993570634
27,0.2,b_4,sigma_half,0.054016994993570634
28,0.2,b_1,sigma_last,2.770396839360589e-12
29,0.2,b_4,sigma_last,2.770396839360589e-12
