,nonzero_percentage,b,sigma,time
0,0.01,b_1,sigma_two,0.6238181591033936
1,0.01,b_4,sigma_two,0.7342967987060547
2,0.01,b_1,sigma_half,0.9535064697265625
3,0.01,b_4,sigma_half,0.8648831844329834
4,0.01,b_1,sigma_last,1.032547950744629
5,0.01,b_4,sigma_last,0.9196341037750244
6,0.02,b_1,sigma_two,0.6172933578491211
7,0.02,b_4,sigma_two,0.6072638034820557
8,0.02,b_1,sigma_half,0.8196063041687012
9,0.02,b_4,sigma_half,0.8409111499786377
10,0.02,b_1,sigma_last,1.216954231262207
11,0.02,b_4,sigma_last,1.1705129146575928
12,0.05,b_1,sigma_two,0.6092629432678223
13,0.05,b_4,sigma_two,0.6041326522827148
14,0.05,b_1,sigma_half,0.835963249206543
15,0.05,b_4,sigma_half,0.8351092338562012
16,0.05,b_1,sigma_last,1.6194071769714355
17,0.05,b_4,sigma_last,1.389134407043457
18,0.1,b_1,sigma_two,0.6335997581481934
19,0.1,b_4,sigma_two,0.6185858249664307
20,0.1,b_1,sigma_half,0.8265535831451416
21,0.1,b_4,sigma_half,0.8830969333648682
22,0.1,b_1,sigma_last,2.3053689002990723
23,0.1,b_4,sigma_last,2.0427520275115967
24,0.2,b_1,sigma_two,0.6360280513763428
25,0.2,b_4,sigma_two,0.6306788921356201
26,0.2,b_1,sigma_half,0.8529510498046875
27,0.2,b_4,sigma_half,0.8483774662017822
28,0.2,b_1,sigma_last,2.511798620223999
29,0.2,b_4,sigma_last,2.603102684020996
